date.bin.num	hap_temp_192	hap_temp_23	hap_temp_111	hap_temp_407	hap_temp_6550	hap_temp_9824	hap_temp_6557	hap_temp_11456	hap_temp_202	hap_temp_173	hap_temp_516	hap_temp_8535	hap_temp_4246	hap_temp_198	hap_temp_1	hap_temp_10989	hap_temp_301	hap_temp_8504	hap_temp_3367	hap_temp_9014	hap_temp_665	hap_temp_7831	hap_temp_10106	hap_temp_8526	hap_temp_1248	hap_temp_1092	hap_temp_281	hap_temp_6623	hap_temp_12521	hap_temp_13467	hap_temp_5775	hap_temp_7295	hap_temp_2637	hap_temp_12092	hap_temp_2354	hap_temp_9234	hap_temp_185	hap_temp_1482	hap_temp_8188	hap_temp_1439	hap_temp_2052	hap_temp_6274	hap_temp_353	hap_temp_12724	hap_temp_13584	hap_temp_11447	hap_temp_12168	hap_temp_5153	hap_temp_211	hap_temp_13224	hap_temp_7163	hap_temp_6344	hap_temp_10588	hap_temp_3473	hap_temp_389	hap_temp_9808	hap_temp_4547	hap_temp_104	hap_temp_291	hap_temp_3634	hap_temp_2279	hap_temp_2903	hap_temp_10679	hap_temp_8030	hap_temp_566	hap_temp_6532	hap_temp_6352	hap_temp_8938	hap_temp_4878	hap_temp_4702	hap_temp_269	hap_temp_7951	hap_temp_6089	hap_temp_4053	hap_temp_2581	hap_temp_3844	hap_temp_9468	hap_temp_9656	hap_temp_701	hap_temp_89	hap_temp_4517	hap_temp_4644	hap_temp_495	hap_temp_7670	hap_temp_195	hap_temp_2128	hap_temp_1883	hap_temp_8377	hap_temp_13086	hap_temp_5520	hap_temp_1032	hap_temp_1778	hap_temp_13362	hap_temp_2262	hap_temp_341	hap_temp_364	hap_temp_910	hap_temp_737	hap_temp_11267	hap_temp_13220	hap_temp_4136	hap_temp_8391	hap_temp_1544	hap_temp_11437	hap_temp_12240	hap_temp_7585	hap_temp_10946	hap_temp_1553	hap_temp_370	hap_temp_9689	hap_temp_12439	hap_temp_259	hap_temp_9793	hap_temp_10983	hap_temp_1630	hap_temp_10014	hap_temp_6537	hap_temp_805	hap_temp_5458	hap_temp_4586	hap_temp_217	hap_temp_13999	hap_temp_285	hap_temp_5371	hap_temp_329	hap_temp_2418	hap_temp_3525	hap_temp_4101	hap_temp_511	hap_temp_11101	hap_temp_246	hap_temp_5731	hap_temp_11424	hap_temp_12308	hap_temp_1403	hap_temp_1920	hap_temp_5578	hap_temp_231	hap_temp_14077	hap_temp_2076	hap_temp_4736	hap_temp_3289	hap_temp_3317	hap_temp_3508	hap_temp_9254	hap_temp_11114	hap_temp_5100	hap_temp_1293	hap_temp_4200	hap_temp_12890	hap_temp_6641	hap_temp_8118	hap_temp_12433	hap_temp_4788	hap_temp_974	hap_temp_1360	hap_temp_4241	hap_temp_791	hap_temp_9231	hap_temp_1328	hap_temp_768	hap_temp_6226	hap_temp_6517	hap_temp_9895	hap_temp_13414	hap_temp_197	hap_temp_911	hap_temp_986	hap_temp_1755	hap_temp_236	hap_temp_29	hap_temp_3458	hap_temp_5013	hap_temp_3010	hap_temp_4332	hap_temp_870	hap_temp_9505	hap_temp_4368	hap_temp_10547	hap_temp_12668	hap_temp_18	hap_temp_3049	hap_temp_4455	hap_temp_13787	hap_temp_5353	hap_temp_12148	hap_temp_5246	hap_temp_6013	hap_temp_115	hap_temp_12110	hap_temp_13924	hap_temp_2877	hap_temp_6009	hap_temp_11874	hap_temp_4617	hap_temp_3086	hap_temp_657	hap_temp_10766	hap_temp_11815	hap_temp_2203	hap_temp_2767	hap_temp_379	hap_temp_9232	hap_temp_9273	hap_temp_12781	hap_temp_1519	hap_temp_3169	hap_temp_8316	hap_temp_3272	hap_temp_3569	hap_temp_4	hap_temp_410	hap_temp_6581	hap_temp_673	hap_temp_1118	hap_temp_6048	hap_temp_1586	hap_temp_3669	hap_temp_5694	hap_temp_12202	hap_temp_2088	hap_temp_5439	hap_temp_1372	hap_temp_2018	hap_temp_3361	hap_temp_475	hap_temp_11952	hap_temp_2748	hap_temp_5622	hap_temp_722	hap_temp_1817	hap_temp_2665	hap_temp_1208	hap_temp_3101	hap_temp_740	hap_temp_12825	hap_temp_2223	hap_temp_242	hap_temp_12721	hap_temp_13144	hap_temp_3244	hap_temp_9008	hap_temp_10353	hap_temp_1952	hap_temp_3365	hap_temp_8497	hap_temp_9368	hap_temp_14153	hap_temp_1727	hap_temp_1843	hap_temp_2532	hap_temp_3598	hap_temp_4840	hap_temp_7826	hap_temp_9822	hap_temp_9904	hap_temp_10693	hap_temp_1819	hap_temp_1866	hap_temp_32	hap_temp_4007	hap_temp_1012	hap_temp_1149	hap_temp_6330	hap_temp_10728	hap_temp_163	hap_temp_6753	hap_temp_11075	hap_temp_6736	hap_temp_2459	hap_temp_2541	hap_temp_12480	hap_temp_200	hap_temp_119	hap_temp_11935	hap_temp_12928	hap_temp_239	hap_temp_2399	hap_temp_3441	hap_temp_3621	hap_temp_712	hap_temp_12625	hap_temp_221	hap_temp_605	hap_temp_6167	hap_temp_8262	hap_temp_11244	hap_temp_2628	hap_temp_8487	hap_temp_324	hap_temp_5763	hap_temp_8275	hap_temp_4236	hap_temp_556	hap_temp_12637	hap_temp_2996	hap_temp_3065	hap_temp_6385	hap_temp_8482	hap_temp_8875	hap_temp_227	hap_temp_624	hap_temp_6303	hap_temp_2042	hap_temp_207	hap_temp_4971	hap_temp_6151	hap_temp_6602	hap_temp_7280	hap_temp_1132	hap_temp_11734	hap_temp_1174	hap_temp_201	hap_temp_4772	hap_temp_2113	hap_temp_10977	hap_temp_2186	hap_temp_2718	hap_temp_9548	hap_temp_10235	hap_temp_12515	hap_temp_1430	hap_temp_2825	hap_temp_3905	hap_temp_8049	hap_temp_10189	hap_temp_4399	hap_temp_586	hap_temp_855	hap_temp_10788	hap_temp_1080	hap_temp_1226	hap_temp_13458	hap_temp_1614	hap_temp_1673	hap_temp_21	hap_temp_2687	hap_temp_3442	hap_temp_3971	hap_temp_4787	hap_temp_11217	hap_temp_277	hap_temp_2849	hap_temp_3167	hap_temp_3781	hap_temp_4449	hap_temp_4805	hap_temp_60	hap_temp_1062	hap_temp_10743	hap_temp_13836	hap_temp_6351	hap_temp_9129	hap_temp_11355	hap_temp_2155	hap_temp_546	hap_temp_7638	hap_temp_820	hap_temp_8201	hap_temp_8774	hap_temp_10102	hap_temp_10205	hap_temp_2313	hap_temp_4698	hap_temp_6521	hap_temp_1094	hap_temp_6270	hap_temp_7285	hap_temp_7821	hap_temp_264	hap_temp_3930	hap_temp_5668	hap_temp_8185	hap_temp_9874	hap_temp_10950	hap_temp_12349	hap_temp_12408	hap_temp_156	hap_temp_3351	hap_temp_3467	hap_temp_3630	hap_temp_518	hap_temp_9845	hap_temp_10556	hap_temp_1437	hap_temp_1465	hap_temp_6918	hap_temp_7009	hap_temp_7551	hap_temp_9583	hap_temp_1088	hap_temp_11778	hap_temp_12520	hap_temp_12795	hap_temp_13223	hap_temp_13812	hap_temp_1414	hap_temp_1420	hap_temp_3808	hap_temp_4198	hap_temp_4911	hap_temp_5332	hap_temp_8775	hap_temp_9001	hap_temp_9917	hap_temp_11989	hap_temp_1472	hap_temp_2074	hap_temp_2286	hap_temp_2612	hap_temp_411	hap_temp_224	hap_temp_3666	hap_temp_4130	hap_temp_5139	hap_temp_5162	hap_temp_6057	hap_temp_6588	hap_temp_7501	hap_temp_79	hap_temp_2187	hap_temp_271	hap_temp_4732	hap_temp_6554	hap_temp_1209	hap_temp_12998	hap_temp_1399	hap_temp_196	hap_temp_1985	hap_temp_257	hap_temp_5575	hap_temp_753	hap_temp_907	hap_temp_4061	hap_temp_4841	hap_temp_4871	hap_temp_4943	hap_temp_5146	hap_temp_5382	hap_temp_839	hap_temp_1004	hap_temp_10674	hap_temp_11412	hap_temp_13463	hap_temp_2182	hap_temp_2288	hap_temp_3004	hap_temp_3582	hap_temp_3643	hap_temp_9133	hap_temp_12508	hap_temp_2345	hap_temp_2504	hap_temp_4422	hap_temp_6604	hap_temp_11477	hap_temp_1478	hap_temp_160	hap_temp_175	hap_temp_2105	hap_temp_5771	hap_temp_680	hap_temp_8492	hap_temp_10988	hap_temp_2416	hap_temp_2485	hap_temp_6011	hap_temp_6083	hap_temp_8645	hap_temp_9244
11	75	5	3	1	0	0	0	11	1	0	10	3	0	0	34	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	113	8	3	5	0	0	0	24	2	4	21	0	1	0	45	0	1	0	0	1	18	2	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	2	0	2	1	1	0	0	9	0	0	0	1	0	0	0	2	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	8	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
13	95	7	5	5	0	0	0	17	0	2	25	2	0	0	17	1	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	5	2	0	0	0	0	0	3	1	0	2	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	2	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	71	6	4	4	0	0	0	15	2	0	16	2	0	0	28	1	0	2	0	1	5	0	0	1	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	77	13	7	4	0	0	0	16	2	1	17	0	0	0	18	0	0	1	0	0	7	1	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	0	4	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16	131	10	4	4	0	0	0	14	1	0	15	1	1	0	0	0	1	1	0	2	6	0	0	0	0	0	0	0	1	1	0	3	1	0	2	0	0	0	1	1	0	1	0	0	0	9	0	0	0	1	0	0	0	1	1	0	2	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
17	104	8	9	4	0	0	0	10	2	0	10	0	1	1	0	0	0	1	0	1	8	1	0	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	2	1	0	0	0	7	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
18	116	11	2	2	0	0	0	17	1	1	14	0	0	0	0	0	0	1	0	3	4	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	3	1	1	0	0	8	0	0	0	1	0	2	0	0	0	0	1	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	207	23	15	0	0	0	0	19	1	0	32	1	3	1	0	0	1	1	0	1	8	0	0	1	3	2	1	0	1	1	0	2	3	0	0	0	0	0	0	1	1	3	0	0	0	9	0	0	0	3	0	0	0	1	0	0	0	0	1	2	1	0	0	3	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	6	1	2	0	0	0	1	0	0	3	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
20	122	6	14	3	0	0	0	24	0	2	14	2	3	0	2	0	0	0	0	3	6	3	0	1	1	1	1	0	0	2	0	3	2	0	2	0	0	0	1	2	2	0	0	1	0	5	0	0	0	0	0	0	0	2	1	0	1	0	0	1	1	0	0	2	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
